window_id,suffix,Ticker,Strategy,Weight
TabPFN,297,AMZN,TabPFN,0.25
TabPFN,297,GOOGL,TabPFN,0.03748326993981909
TabPFN,297,MSFT,TabPFN,0.25
TabPFN,297,NVDA,TabPFN,0.24999999999999994
EqualWeight,302,AAPL,EqualWeight,0.2
EqualWeight,302,AMZN,EqualWeight,0.2
EqualWeight,302,GOOGL,EqualWeight,0.2
EqualWeight,302,MSFT,EqualWeight,0.2
EqualWeight,302,NVDA,EqualWeight,0.2
Markowitz,302,AAPL,Markowitz,0.25
Markowitz,302,AMZN,Markowitz,0.24999999999999972
Markowitz,302,GOOGL,Markowitz,0.24999999999999994
Markowitz,302,MSFT,Markowitz,0.12765663464741495
Markowitz,302,NVDA,Markowitz,0.1223433653525853
RandomForest,302,AAPL,RandomForest,0.24999999999999944
RandomForest,302,AMZN,RandomForest,0.25
RandomForest,302,GOOGL,RandomForest,0.25
RandomForest,302,MSFT,RandomForest,0.0
RandomForest,302,NVDA,RandomForest,0.25
XGBoost,302,AAPL,XGBoost,0.24999999999999975
XGBoost,302,AMZN,XGBoost,0.25
XGBoost,302,GOOGL,XGBoost,0.24999999999999956
XGBoost,302,MSFT,XGBoost,0.24999999999999975
XGBoost,302,NVDA,XGBoost,8.049116928532385e-16
TabPFN,302,AAPL,TabPFN,0.25
TabPFN,302,AMZN,TabPFN,0.25
TabPFN,302,GOOGL,TabPFN,0.0
TabPFN,302,MSFT,TabPFN,0.24999999999999944
TabPFN,302,NVDA,TabPFN,0.25
EqualWeight,307,AAPL,EqualWeight,0.2
EqualWeight,307,AMZN,EqualWeight,0.2
EqualWeight,307,GOOGL,EqualWeight,0.2
EqualWeight,307,MSFT,EqualWeight,0.2
EqualWeight,307,NVDA,EqualWeight,0.2
Markowitz,307,AAPL,Markowitz,0.25
Markowitz,307,AMZN,Markowitz,0.24999999999999947
Markowitz,307,GOOGL,Markowitz,0.25
Markowitz,307,MSFT,Markowitz,0.0
Markowitz,307,NVDA,Markowitz,0.24999999999999992
RandomForest,307,AAPL,RandomForest,0.24999999999999928
RandomForest,307,AMZN,RandomForest,0.25
RandomForest,307,GOOGL,RandomForest,0.24999999999999992
RandomForest,307,MSFT,RandomForest,0.25
RandomForest,307,NVDA,RandomForest,7.424616477180734e-16
XGBoost,307,AAPL,XGBoost,5.273559366969494e-16
XGBoost,307,AMZN,XGBoost,0.25
XGBoost,307,GOOGL,XGBoost,0.2499999999999995
XGBoost,307,MSFT,XGBoost,0.25
XGBoost,307,NVDA,XGBoost,0.24999999999999997
TabPFN,307,AAPL,TabPFN,0.25
TabPFN,307,AMZN,TabPFN,0.24999999999999992
TabPFN,307,GOOGL,TabPFN,0.25
TabPFN,307,MSFT,TabPFN,0.0
TabPFN,307,NVDA,TabPFN,0.25
EqualWeight,312,AAPL,EqualWeight,0.2
EqualWeight,312,AMZN,EqualWeight,0.2
EqualWeight,312,GOOGL,EqualWeight,0.2
EqualWeight,312,MSFT,EqualWeight,0.2
EqualWeight,312,NVDA,EqualWeight,0.2
Markowitz,312,AAPL,Markowitz,0.25
Markowitz,312,AMZN,Markowitz,0.25
Markowitz,312,GOOGL,Markowitz,0.24999999999999994
Markowitz,312,MSFT,Markowitz,0.25
Markowitz,312,NVDA,Markowitz,0.0
RandomForest,312,AAPL,RandomForest,0.25
RandomForest,312,AMZN,RandomForest,0.24999999999999992
RandomForest,312,GOOGL,RandomForest,0.25
RandomForest,312,MSFT,RandomForest,0.25
RandomForest,312,NVDA,RandomForest,2.7755575615628914e-17
XGBoost,312,AAPL,XGBoost,0.24999999999999842
XGBoost,312,AMZN,XGBoost,0.25
XGBoost,312,GOOGL,XGBoost,0.2499999999999997
XGBoost,312,MSFT,XGBoost,0.2499999999999997
XGBoost,312,NVDA,XGBoost,4.718447854656915e-16
TabPFN,312,AAPL,TabPFN,0.25
TabPFN,312,AMZN,TabPFN,0.24999999999999983
TabPFN,312,GOOGL,TabPFN,0.24999999999999978
TabPFN,312,MSFT,TabPFN,0.25
TabPFN,312,NVDA,TabPFN,0.0
EqualWeight,317,AAPL,EqualWeight,0.2
EqualWeight,317,AMZN,EqualWeight,0.2
EqualWeight,317,GOOGL,EqualWeight,0.2
EqualWeight,317,MSFT,EqualWeight,0.2
EqualWeight,317,NVDA,EqualWeight,0.2
Markowitz,317,AAPL,Markowitz,0.25
Markowitz,317,AMZN,Markowitz,0.25
Markowitz,317,GOOGL,Markowitz,1.6653345369377348e-16
Markowitz,317,MSFT,Markowitz,0.25
Markowitz,317,NVDA,Markowitz,0.24999999999999875
RandomForest,317,AAPL,RandomForest,0.24999999999999994
RandomForest,317,AMZN,RandomForest,0.25
RandomForest,317,GOOGL,RandomForest,0.0
RandomForest,317,MSFT,RandomForest,0.24999999999999975
RandomForest,317,NVDA,RandomForest,0.25
XGBoost,317,AAPL,XGBoost,0.25
XGBoost,317,AMZN,XGBoost,0.24999999999999975
XGBoost,317,GOOGL,XGBoost,2.7755575615628914e-16
XGBoost,317,MSFT,XGBoost,0.24999999999999972
XGBoost,317,NVDA,XGBoost,0.24999999999999983
TabPFN,317,AAPL,TabPFN,0.25
TabPFN,317,AMZN,TabPFN,9.020562075079397e-17
TabPFN,317,GOOGL,TabPFN,0.25
TabPFN,317,MSFT,TabPFN,0.25
TabPFN,317,NVDA,TabPFN,0.2499999999999991
EqualWeight,322,AAPL,EqualWeight,0.2
EqualWeight,322,AMZN,EqualWeight,0.2
EqualWeight,322,GOOGL,EqualWeight,0.2
EqualWeight,322,MSFT,EqualWeight,0.2
EqualWeight,322,NVDA,EqualWeight,0.2
Markowitz,322,AAPL,Markowitz,0.25
Markowitz,322,AMZN,Markowitz,0.24999999999999956
Markowitz,322,GOOGL,Markowitz,0.24999999999999972
Markowitz,322,MSFT,Markowitz,0.24999999999999983
Markowitz,322,NVDA,Markowitz,8.881784197001252e-16
RandomForest,322,AAPL,RandomForest,0.25
